id,name,host_id,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,availability_365,bedrooms,bathrooms,review_scores_rating,accommodates,reviews_per_month,host_since,price_per_bedroom,price_per_bathroom,price_per_person,host_experience_years,experienced_host,luxury_flag
1351783,Private Room #1 and Breakfast Nook,7335923,Outer Sunset,Private room,47.0,30,40,312,1.0,1.0,4.8,1,0.28,2013-07-07,47.0,47.0,47.0,12.013698630136986,True,False
1352111,Tranquil Pacific Heights Top Floor Duplex,1678230,Pacific Heights,Entire home/apt,150.0,30,143,271,1.0,1.0,4.92,2,0.99,2012-01-31,150.0,150.0,75.0,13.446575342465753,True,False
1388523,Mission Dolores Noe Valley Studio 1 Month Minimum,549522,Mission,Entire home/apt,120.0,30,42,295,2.0,1.0,4.7,2,0.29,2011-05-01,60.0,120.0,60.0,14.2,True,False
1392204,Historic View Home Large 2 Bedroom  Suite/ Parking,7526456,West of Twin Peaks,Private room,153.0,3,288,111,2.0,1.0,4.87,4,1.99,2013-07-16,76.5,153.0,38.25,11.98904109589041,True,False
1408932,Studio on Sunny Side of Bernal - Decklounge Views,7598687,Bernal Heights,Entire home/apt,106.0,2,199,41,1.0,1.0,4.89,2,1.38,2013-07-19,106.0,106.0,53.0,11.98082191780822,True,False
1409218,"Modern, Large & Luxurious SOMA Loft",5203636,South of Market,Entire home/apt,217.0,30,67,309,2.0,2.0,4.85,4,0.46,2013-02-24,108.5,108.5,54.25,12.378082191780821,True,False
1421671,Top-Rated Spotless Studio:Walk-Safe and Convenient,7630810,Mission,Entire home/apt,882.0,2,450,89,0.0,1.0,4.97,2,3.12,2013-07-21,inf,882.0,441.0,11.975342465753425,True,True
1421774,Charming Private Castro Studio,1513493,Castro/Upper Market,Entire home/apt,119.0,3,754,94,1.0,1.0,4.87,2,5.45,2011-12-17,119.0,119.0,59.5,13.56986301369863,True,False
1421937,Suite with Majestic View in Historic Home/Parking,7526456,West of Twin Peaks,Private room,147.0,3,227,222,1.0,1.0,4.92,2,1.58,2013-07-16,147.0,147.0,73.5,11.98904109589041,True,False
1428465,Modern Noe Valley Mid Century Home,1031942,Noe Valley,Entire home/apt,304.0,30,40,304,1.0,1.0,4.85,2,0.28,2011-08-28,304.0,304.0,152.0,13.873972602739727,True,False
1433011,"Location, location! Awesome place  in great area.",4687340,Russian Hill,Entire home/apt,143.0,3,14,183,1.0,1.0,4.86,1,0.1,2013-01-13,143.0,143.0,143.0,12.493150684931507,True,False
1433917,Castro St Location Location Location,4819815,Castro/Upper Market,Entire home/apt,208.0,30,149,323,1.0,1.0,4.91,2,1.05,2013-01-23,208.0,208.0,104.0,12.465753424657533,True,False
1434314,Stylish Noe Valley View with Hot Tub & Sauna,883556,Noe Valley,Entire home/apt,945.0,30,127,114,3.0,2.0,4.98,6,0.88,2011-07-28,315.0,472.5,157.5,13.95890410958904,True,True
1434425,"Castro, Large, Sunny, own dedicated bathroom",3227887,Castro/Upper Market,Private room,126.0,3,177,353,1.0,2.0,4.89,1,1.23,2012-08-11,126.0,63.0,126.0,12.917808219178083,True,False
1460174,Unique Modern Airy Apartment with Contemporary Art,5244284,Western Addition,Entire home/apt,603.0,3,80,32,3.0,2.0,4.96,5,0.56,2013-02-26,201.0,301.5,120.6,12.372602739726027,True,True
1460628,Private studio with a lush garden,7828423,Inner Richmond,Entire home/apt,143.0,2,427,201,1.0,1.0,4.47,6,2.96,2013-07-30,143.0,143.0,23.833333333333332,11.95068493150685,True,False
1470340,Relaxing Garden Apartment in Quiet SF Neighborhood,1393328,Crocker Amazon,Entire home/apt,113.0,3,329,226,1.0,1.0,4.92,2,3.03,2011-11-10,113.0,113.0,56.5,13.67123287671233,True,False
1471683,Artful Comforts in the Lower Haight,7879719,Western Addition,Private room,113.0,3,588,257,2.0,1.5,4.93,3,4.09,2013-08-01,56.5,75.33333333333333,37.666666666666664,11.945205479452055,True,False
1480015,Vintage Modern Victorian Apartment,7919343,Haight Ashbury,Entire home/apt,266.0,3,317,263,1.0,1.0,4.98,4,2.26,2013-08-03,266.0,266.0,66.5,11.93972602739726,True,False
1482730,Bernal Heights 2 BD near 101/280 & Cute Main St,289376,Bernal Heights,Entire home/apt,149.0,4,214,227,2.0,1.0,4.86,4,1.48,2010-11-17,74.5,149.0,37.25,14.652054794520549,True,False
1484149,Safe Russian Hill-Great for Business & Pleasure,7940322,Nob Hill,Entire home/apt,130.0,30,137,135,0.0,1.0,4.78,2,0.95,2013-08-04,inf,130.0,65.0,11.936986301369863,True,False
1484792,"Live Like a San Franciscan in Hayes Valley, with Parking",5192660,Western Addition,Entire home/apt,250.0,30,181,136,1.0,1.0,4.96,4,1.27,2013-02-23,250.0,250.0,62.5,12.38082191780822,True,False
1487849,Holladay Home (w/ parking),1590094,Bernal Heights,Entire home/apt,200.0,2,411,6,1.0,1.0,4.63,4,2.85,2012-01-10,200.0,200.0,50.0,13.504109589041096,True,False
1506702,Spacious & Bright 3BD/1.5BA Cow Hollow Home w/Deck,2228453,Marina,Entire home/apt,728.0,1,234,305,3.0,1.5,4.89,5,1.64,2012-04-26,242.66666666666666,485.3333333333333,145.6,13.210958904109589,True,True
1510363,Cozy 2 BR  Apt. In The Sunnyside,7303214,Outer Mission,Entire home/apt,149.0,3,444,191,2.0,1.0,4.96,4,3.13,2013-07-05,74.5,149.0,37.25,12.01917808219178,True,False
1520929,San Francisco Views * Spacious Flat for Fun & Work,8055897,Potrero Hill,Entire home/apt,165.0,30,301,322,2.0,1.0,4.66,4,2.1,2013-08-09,82.5,165.0,41.25,11.923287671232877,True,False
1525137,Modern Edwardian in Pacific Heights,7390100,Pacific Heights,Entire home/apt,162.0,30,215,266,1.0,1.0,4.8,3,1.5,2013-07-10,162.0,162.0,54.0,12.005479452054795,True,False
1537497,Great Hayes Valley 1 BR (#10),3977854,South of Market,Entire home/apt,140.0,30,64,360,1.0,1.0,4.86,2,0.46,2012-10-25,140.0,140.0,70.0,12.712328767123287,True,False
1547477,Great Hayes Valley Studio (#4),3977854,Western Addition,Entire home/apt,120.0,30,60,261,0.0,1.0,4.92,2,0.43,2012-10-25,inf,120.0,60.0,12.712328767123287,True,False
1574848,Amazing Views - Priv Room,4106299,North Beach,Private room,150.0,30,24,305,1.0,1.0,4.71,2,0.19,2012-11-09,150.0,150.0,75.0,12.67123287671233,True,False
1575184,"Sunnyside Cinema: King bed + 2 twin, 2 desks, yard",3495261,Outer Mission,Entire home/apt,194.0,4,41,130,1.0,1.0,4.98,4,1.72,2012-09-06,194.0,194.0,48.5,12.846575342465753,True,False
1578597,The Skyline Suite (w/ Kitchenette),8390846,Potrero Hill,Entire home/apt,130.0,1,529,291,0.0,1.0,4.72,2,3.84,2013-08-25,inf,130.0,65.0,11.87945205479452,True,False
1606292,Great Hayes Valley Studio (#3),3977854,Western Addition,Entire home/apt,110.0,30,69,308,0.0,1.0,4.79,2,0.49,2012-10-25,inf,110.0,55.0,12.712328767123287,True,False
1614622,Great for Business Travelers - NOPA,2343472,Western Addition,Private room,151.0,1,117,339,1.0,1.0,4.97,2,0.82,2012-05-10,151.0,151.0,75.5,13.172602739726027,True,False
1623609,Private suite - in vibrant Mission,8633891,Mission,Private room,124.0,3,364,159,1.0,1.0,4.93,2,2.57,2013-09-04,124.0,124.0,62.0,11.852054794520548,True,False
